Id,Label,node_type,term_type,term_name
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",annotation,go_term,"phosphotransferase activity, alcohol group as acceptor"
GO:0005975,carbohydrate metabolic process,annotation,go_term,carbohydrate metabolic process
GO:0048255,mRNA stabilization,annotation,go_term,mRNA stabilization
GO:0003682,chromatin binding,annotation,go_term,chromatin binding
GO:0007268,chemical synaptic transmission,annotation,go_term,chemical synaptic transmission
GO:0005198,structural molecule activity,annotation,go_term,structural molecule activity
IPR008271,"Serine/threonine-protein kinase, active site",annotation,domain,"Serine/threonine-protein kinase, active site"
IPR051301,Optineurin/NF-kappa-B Essential Modulator,annotation,domain,Optineurin/NF-kappa-B Essential Modulator
R-HSA-8980692,RHOA GTPase cycle,annotation,pathway,RHOA GTPase cycle
IPR041677,"DNA2/NAM7 helicase, helicase domain",annotation,domain,"DNA2/NAM7 helicase, helicase domain"
IPR047187,"Upf1-like, C-terminal helicase domain",annotation,domain,"Upf1-like, C-terminal helicase domain"
R-HSA-9679191,Potential therapeutics for SARS,annotation,pathway,Potential therapeutics for SARS
GO:0097305,response to alcohol,annotation,go_term,response to alcohol
GO:0005783,endoplasmic reticulum,annotation,go_term,endoplasmic reticulum
IPR006716,ERG2/sigma1 receptor-like,annotation,domain,ERG2/sigma1 receptor-like
GO:0043410,positive regulation of MAPK cascade,annotation,go_term,positive regulation of MAPK cascade
IPR050087,8-amino-7-oxononanoate synthase class-II,annotation,domain,8-amino-7-oxononanoate synthase class-II
IPR049124,"TAR DNA-binding protein 43, C-terminal",annotation,domain,"TAR DNA-binding protein 43, C-terminal"
R-HSA-3134975,Regulation of innate immune responses to cytosolic DNA,annotation,pathway,Regulation of innate immune responses to cytosolic DNA
R-HSA-918233,TRAF3-dependent IRF activation pathway,annotation,pathway,TRAF3-dependent IRF activation pathway
IPR003954,"RNA recognition motif domain, eukaryotic-type",annotation,domain,"RNA recognition motif domain, eukaryotic-type"
IPR032415,"TRPM, tetramerisation domain",annotation,domain,"TRPM, tetramerisation domain"
R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,annotation,pathway,The role of GTSE1 in G2/M progression after G2 checkpoint
R-HSA-9646399,Aggrephagy,annotation,pathway,Aggrephagy
IPR016024,Armadillo-type fold,annotation,domain,Armadillo-type fold
IPR029071,Ubiquitin-like domain superfamily,annotation,domain,Ubiquitin-like domain superfamily
GO:0051966,"regulation of synaptic transmission, glutamatergic",annotation,go_term,"regulation of synaptic transmission, glutamatergic"
IPR014772,"Mammalian uncoordinated homology 13, domain 2",annotation,domain,"Mammalian uncoordinated homology 13, domain 2"
R-HSA-8866654,E3 ubiquitin ligases ubiquitinate target proteins,annotation,pathway,E3 ubiquitin ligases ubiquitinate target proteins
R-HSA-9918487,Dengue Virus Genome Translation and Replication,annotation,pathway,Dengue Virus Genome Translation and Replication
IPR005938,"AAA ATPase, CDC48 family",annotation,domain,"AAA ATPase, CDC48 family"
GO:0043547,positive regulation of GTPase activity,annotation,go_term,positive regulation of GTPase activity
GO:0003676,nucleic acid binding,annotation,go_term,nucleic acid binding
IPR023411,"Ribonuclease A, active site",annotation,domain,"Ribonuclease A, active site"
GO:0003723,RNA binding,annotation,go_term,RNA binding
GO:0010564,regulation of cell cycle process,annotation,go_term,regulation of cell cycle process
GO:0003674,molecular_function,annotation,go_term,molecular_function
GO:0007007,inner mitochondrial membrane organization,annotation,go_term,inner mitochondrial membrane organization
R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,annotation,pathway,Sealing of the nuclear envelope (NE) by ESCRT-III
R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition,annotation,pathway,Regulation of PLK1 Activity at G2/M Transition
R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic,annotation,pathway,COPI-independent Golgi-to-ER retrograde traffic
R-HSA-8854518,AURKA Activation by TPX2,annotation,pathway,AURKA Activation by TPX2
GO:0098930,axonal transport,annotation,go_term,axonal transport
GO:0030904,retromer complex,annotation,go_term,retromer complex
GO:0006417,regulation of translation,annotation,go_term,regulation of translation
GO:0030335,positive regulation of cell migration,annotation,go_term,positive regulation of cell migration
IPR058240,Radical SAM superfamily,annotation,domain,Radical SAM superfamily
R-HSA-9018519,Estrogen-dependent gene expression,annotation,pathway,Estrogen-dependent gene expression
R-HSA-9665686,Signaling by ERBB2 TMD/JMD mutants,annotation,pathway,Signaling by ERBB2 TMD/JMD mutants
IPR001245,"Serine-threonine/tyrosine-protein kinase, catalytic domain",annotation,domain,"Serine-threonine/tyrosine-protein kinase, catalytic domain"
IPR008266,"Tyrosine-protein kinase, active site",annotation,domain,"Tyrosine-protein kinase, active site"
GO:0019150,D-ribulokinase activity,annotation,go_term,D-ribulokinase activity
GO:0034485,"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity",annotation,go_term,"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity"
R-HSA-9692914,SARS-CoV-1-host interactions,annotation,pathway,SARS-CoV-1-host interactions
IPR001752,Kinesin motor domain,annotation,domain,Kinesin motor domain
IPR027640,Kinesin-like protein,annotation,domain,Kinesin-like protein
IPR036055,LDL receptor-like superfamily,annotation,domain,LDL receptor-like superfamily
GO:0003170,heart valve development,annotation,go_term,heart valve development
IPR018039,"Intermediate filament protein, conserved site",annotation,domain,"Intermediate filament protein, conserved site"
IPR034735,"NEMO, Zinc finger",annotation,domain,"NEMO, Zinc finger"
IPR005454,"Profilin1/2/3, vertebrate",annotation,domain,"Profilin1/2/3, vertebrate"
IPR027310,Profilin conserved site,annotation,domain,Profilin conserved site
GO:0014069,postsynaptic density,annotation,go_term,postsynaptic density
GO:0006665,sphingolipid metabolic process,annotation,go_term,sphingolipid metabolic process
GO:0048255,GO annotation (biological process),annotation,go_term,GO annotation (biological process)
IPR041105,"TAR DNA-binding protein 43, N-terminal",annotation,domain,"TAR DNA-binding protein 43, N-terminal"
GO:0032728,positive regulation of interferon-beta production,annotation,go_term,positive regulation of interferon-beta production
IPR048509,"Transmembrane protein 106, C-terminal domain",annotation,domain,"Transmembrane protein 106, C-terminal domain"
IPR046349,C1-like domain superfamily,annotation,domain,C1-like domain superfamily
R-HSA-110320,Translesion Synthesis by POLH,annotation,pathway,Translesion Synthesis by POLH
IPR004201,"CDC48, domain 2",annotation,domain,"CDC48, domain 2"
R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs,annotation,pathway,RAB GEFs exchange GTP for GDP on RABs
IPR001427,Pancreatic ribonuclease,annotation,domain,Pancreatic ribonuclease
IPR009818,PAM2 motif,annotation,domain,PAM2 motif
IPR001810,F-box domain,annotation,domain,F-box domain
IPR039361,Cyclin,annotation,domain,Cyclin
GO:0001750,photoreceptor outer segment,annotation,go_term,photoreceptor outer segment
GO:0005886,plasma membrane,annotation,go_term,plasma membrane
R-HSA-5620971,Pyroptosis,annotation,pathway,Pyroptosis
R-HSA-389661,Glyoxylate metabolism and glycine degradation,annotation,pathway,Glyoxylate metabolism and glycine degradation
IPR006076,FAD dependent oxidoreductase,annotation,domain,FAD dependent oxidoreductase
GO:0006357,regulation of transcription by RNA polymerase II,annotation,go_term,regulation of transcription by RNA polymerase II
IPR006638,"Elp3/MiaA/NifB-like, radical SAM core domain",annotation,domain,"Elp3/MiaA/NifB-like, radical SAM core domain"
IPR032432,"Radical SAM, C-terminal extension",annotation,domain,"Radical SAM, C-terminal extension"
R-HSA-1253288,Downregulation of ERBB4 signaling,annotation,pathway,Downregulation of ERBB4 signaling
IPR006212,Furin-like repeat,annotation,domain,Furin-like repeat
